ThreadId	ThreadCount	Key	ResultCount	Time
0	3	2360	61	54936400
0	3	23	2627	184476900
0	3	29	0	671842800
0	3	76	28	15828900
0	3	56	58	11101100
0	3	23	2627	126960200
0	3	23	2627	76537100
0	3	4729	113	10448500
0	3	744	71	16596600
0	3	627	0	12937400
0	3	1513	649	23538900
0	3	1159	18	6520900
0	3	94	3543	123380400
0	3	10436	18	6454300
0	3	3343	45	5953600
0	3	40	0	10432200
0	3	132	0	82242100
0	3	42	0	17966100
0	3	39	0	11468200
0	3	299	104	15151600
0	3	304	114	11072700
0	3	23	2627	62319900
0	3	117	0	23710100
0	3	5330	0	7361900
0	3	4449	0	180405500
0	3	1608	0	10167900
0	3	1083	2052	60527800
0	3	5431	0	65391100
0	3	43	0	10059100
0	3	30	0	13836400
0	3	867	0	278524800
0	3	558	0	11259000
0	3	65	0	48471900
0	3	252	17	5142300
0	3	856	0	8206200
0	3	27	0	18442900
0	3	148	4	8544400
0	3	23	2627	86252600
0	3	48	0	8444400
0	3	163	0	8448300
0	3	85	0	9192200
0	3	7460	0	9625100
0	3	164	0	209367400
0	3	79	0	18253900
0	3	178	0	22418000
0	3	3728	12	12703100
0	3	9326	0	12321700
0	3	112	0	16676200
0	3	38	38	13547100
0	3	316	0	11318600
0	3	4712	61	14529300
0	3	517	0	13590500
0	3	311	0	7113800
0	3	31	2493	114311800
0	3	2335	349	9572500
0	3	231	28	3380800
0	3	4932	17	4297400
0	3	3954	10	5113500
0	3	8662	0	4972500
0	3	24	41	6129500
0	3	2934	0	10947700
0	3	24	41	18254300
0	3	2618	1544	28572500
0	3	36	0	7073000
0	3	29	0	10481600
0	3	139	0	7237000
0	3	28	0	21426500
0	3	7105	0	7114600
0	3	4732	25	9049400
0	3	2216	0	5218000
0	3	74	0	5792600
0	3	525	0	8154100
0	3	2782	0	8748300
0	3	3971	86	8150400
0	3	136	292	14571600
0	3	203	155	10915000
0	3	27	0	10880100
0	3	176	0	171272400
0	3	2908	647	23466800
0	3	124	0	12625500
0	3	6747	8	6139900
0	3	24	41	7112500
0	3	295	9217	160361100
0	3	196	2	5693100
0	3	3587	1	2686600
0	3	33	0	8624000
0	3	74	0	6833600
0	3	396	0	7655500
0	3	77	0	9153500
0	3	449	60	5268500
0	3	34	1065	21442800
