ThreadId	ThreadCount	Key	ResultCount	Time
0	3	2349	0	137137200
0	3	12	1001061	28083421700
0	3	18	6532	99551000
0	3	65	0	7911500
0	3	45	0	6523900
0	3	12	1001061	25941336400
0	3	12	1001061	23067481100
0	3	4718	0	8744200
0	3	733	0	8792900
0	3	616	51	6575300
0	3	1502	46	5384400
0	3	1148	6819	100908800
0	3	83	0	9263700
0	3	10425	72	8067800
0	3	3332	0	8407500
0	3	29	0	9194100
0	3	121	0	9031300
0	3	31	2493	49633900
0	3	28	0	9202900
0	3	288	3202	72610300
0	3	293	3574	56506000
0	3	12	1001061	26820044600
0	3	106	1	3882800
0	3	5319	0	5634300
0	3	4438	0	2002008700
0	3	1597	0	13219800
0	3	1072	0	13387200
0	3	5420	0	6636000
0	3	32	1	4330700
0	3	19	0	5160600
0	3	856	0	5682900
0	3	547	0	6344900
0	3	54	0	6683000
0	3	241	15	5040500
0	3	845	44	4630400
0	3	16	218	6318300
0	3	137	0	4899600
0	3	12	1001061	25533820200
0	3	37	0	6087700
0	3	152	13	105995500
0	3	74	0	8985100
0	3	7449	3	7488700
0	3	153	0	6418000
0	3	68	0	7251500
0	3	167	0	7137300
0	3	3717	0	7752900
0	3	9315	982	20514800
0	3	101	0	5567400
0	3	27	0	6358600
0	3	305	0	6562400
0	3	4701	18	4900200
0	3	506	1746	29411600
0	3	300	34	3119800
0	3	20	1213787	26080943300
0	3	2324	0	6096100
0	3	220	158	9526400
0	3	4921	0	5071200
0	3	3943	11	4055601
0	3	8651	0	7539600
0	3	13	1031830	23306839000
0	3	2923	1276	412519099
0	3	13	1031830	30450218500
0	3	2607	0	6015900
0	3	25	0	7161199
0	3	18	6532	103703001
0	3	128	0	5147200
0	3	17	6948	113525701
0	3	7094	52	4648700
0	3	4721	0	5868599
0	3	2205	205	9365100
0	3	63	0	4727600
0	3	514	193	8393900
0	3	2771	1	2457700
0	3	3960	0	4819500
0	3	125	0	6789701
0	3	192	0	9953600
0	3	16	218	11286901
0	3	165	0	5483799
0	3	2897	0	10840800
0	3	113	0	9432301
0	3	6736	0	6457399
0	3	13	1031830	22964751501
0	3	284	0	146321700
0	3	185	0	196607800
0	3	3576	0	6651200
0	3	22	3791	60022300
0	3	63	0	5823100
0	3	385	102	6666300
0	3	66	6049	86794400
0	3	438	0	5347700
0	3	23	2627	46632000
0	3	20	1213787	35151716300
0	3	365	376	11397700
0	3	816	14	3151900
0	3	199	0	5188000
0	3	933	6	40151700
0	3	168	0	5525400
0	3	64	2890	54592400
0	3	26	0	5716000
0	3	1696	133	6325800
0	3	8628	0	4977500
0	3	37	0	6288300
0	3	90	0	5902100
0	3	4709	0	5918100
0	3	2145	301	9617900
0	3	516	0	4670000
0	3	204	38	4309200
0	3	278	236	6263100
0	3	55	0	4923200
0	3	165	0	5810000
0	3	16	218	9559900
0	3	8836	0	5342700
0	3	114	0	6221700
0	3	339	13	4623600
0	3	7023	0	4611000
0	3	242	644	17161600
0	3	4953	0	5183500
0	3	1303	0	6369200
0	3	42	0	5434800
0	3	738	18	4098900
0	3	625	87	3977400
0	3	4891	0	4625200
0	3	10222	61	6293900
0	3	118	0	4428900
0	3	158	0	6314200
0	3	5550	376	11720800
0	3	2254	0	4304400
0	3	4218	533	20846700
0	3	960	174	9434800
0	3	1000	318	8722700
0	3	13	1031830	24325505700
0	3	866	1593	26523100
0	3	13	1031830	25761195600
0	3	619	0	6228000
0	3	4416	0	6048500
0	3	2904	0	6050800
0	3	88	0	6823200
0	3	59	1238	22260700
0	3	38	38	3205300
0	3	15	14342	268300500
0	3	574	56	4303200
0	3	154	0	4745800
0	3	15	14342	206688600
0	3	254	55	4784300
0	3	1480	0	5504900
0	3	19	0	8275500
0	3	4545	1	6114800
0	3	1842	0	8098900
0	3	1207	0	7063000
0	3	8154	0	8467300
0	3	891	0	5810700
0	3	44	0	6093800
0	3	13	1031830	23601956200
0	3	200	48	5222900
0	3	7289	0	5604900
0	3	5833	0	7102800
0	3	2643	0	7389300
0	3	58	2475	43777800
0	3	241	15	2971300
0	3	17	6948	104661300
0	3	31	2493	65765500
0	3	28	0	8871300
0	3	116	0	6679000
0	3	5011	0	8786900
0	3	12	1001061	28462415700
0	3	178	0	9272600
0	3	1582	6	43332200
0	3	4086	30	3322700
0	3	1011	0	7697300
0	3	1260	0	10093200
0	3	5523	1192	42350900
0	3	2621	0	23087300
0	3	75	0	7134900
0	3	507	116	8261300
0	3	6635	8	2670000
0	3	143	0	6807800
0	3	799	17	6141400
0	3	51	0	6277900
0	3	3314	0	5769400
0	3	87	7497	445428500
0	3	2128	0	8996600
0	3	9880	0	13043800
0	3	208	73	11814300
0	3	122	0	8179700
0	3	1036	12	6422700
0	3	912	17	3654300
0	3	5278	551	13490800
0	3	23	2627	45145500
0	3	157	0	9156100
0	3	12	1001061	27567135000
0	3	66	6049	83724700
0	3	1568	354	10195600
0	3	4726	616	12954400
0	3	27	0	5235200
0	3	7296	0	10656300
0	3	1224	0	6577900
0	3	4681	62	7676100
0	3	240	1258	24506700
0	3	3967	0	5676900
0	3	1758	0	6584200
0	3	139	0	10437800
0	3	7314	1	4904300
0	3	843	0	4443500
0	3	7937	0	6932600
0	3	683	245	13434600
0	3	679	21	3633600
0	3	84	0	5445100
0	3	3156	0	6404700
0	3	21	9027	437762300
0	3	1967	0	5756600
0	3	1067	0	6042300
0	3	3242	1	4055900
0	3	1749	0	4629100
0	3	3981	1249	26122800
0	3	805	19	3472400
0	3	83	0	4524400
0	3	27	0	6221300
0	3	102	8	4448600
0	3	1756	0	4419100
0	3	2789	0	5633600
0	3	7256	285	9005200
0	3	290	0	4549500
0	3	96	1	4363200
0	3	5607	9	3065200
0	3	30	0	4938900
0	3	8454	0	6551900
0	3	24	41	5939100
0	3	3331	45	3937000
0	3	358	36	3815000
0	3	1193	0	4452100
0	3	9711	0	6458500
0	3	8184	0	6924600
0	3	9778	0	6856900
0	3	48	0	6092300
0	3	360	0	5751800
0	3	863	17	4147000
0	3	9361	125	4791300
0	3	12	1001061	22562771000
0	3	12	1001061	13882912700
0	3	2265	0	6477100
0	3	79	0	9536800
0	3	6818	0	10258900
0	3	1168	637	16170700
0	3	5053	2	3971200
0	3	280	2	3225600
0	3	2523	0	5174500
0	3	2027	0	24895000
0	3	3627	13	5779100
0	3	24	41	4227800
0	3	63	0	5311100
1	3	2349	0	134327600
1	3	12	1001061	23390404500
1	3	18	6532	171603400
1	3	65	0	7742400
1	3	45	0	41829700
1	3	12	1001061	21559952800
1	3	12	1001061	22042035700
1	3	4718	0	6768200
1	3	733	0	46228100
1	3	616	51	6503200
1	3	1502	46	4489700
1	3	1148	6819	92462500
1	3	83	0	5857800
1	3	10425	72	7988800
1	3	3332	0	6841400
1	3	29	0	8492300
1	3	121	0	165914500
1	3	31	2493	40862000
1	3	28	0	8610500
1	3	288	3202	53058100
1	3	293	3574	76904200
1	3	12	1001061	26687290800
1	3	106	1	5062100
1	3	5319	0	8386000
1	3	4438	0	7376200
1	3	1597	0	6666500
1	3	1072	0	7672500
1	3	5420	0	7166300
1	3	32	1	5288100
1	3	19	0	5235400
1	3	856	0	7168000
1	3	547	0	8565700
1	3	54	0	141926100
1	3	241	15	4310000
1	3	845	44	3580300
1	3	16	218	6454300
1	3	137	0	5593500
1	3	12	1001061	24745319500
1	3	37	0	10451800
